"time","log.status.actuals","log.status.forecasts"
154,3.13549421592915;3.13549421592915;3.13549421592915,
155,3.13549421592915;3.13549421592915;3.13549421592915,
156,3.13549421592915;3.13549421592915;3.13549421592915,
157,3.13549421592915;3.13549421592915;3.13549421592915,
158,3.13549421592915;3.13549421592915;3.13549421592915,
159,3.13549421592915;3.13549421592915;3.13549421592915,
160,3.13549421592915;3.13549421592915;3.13549421592915,
161,3.13549421592915;3.13549421592915;3.13549421592915,
162,3.13549421592915;3.13549421592915;3.13549421592915,
163,3.13549421592915;3.13549421592915;3.13549421592915,
164,3.09104245335832;3.09104245335832;3.09104245335832,
165,3.09104245335832;3.09104245335832;3.09104245335832,
166,3.09104245335832;3.09104245335832;3.09104245335832,
167,3.04452243772342;3.04452243772342;3.04452243772342,
168,2.99573227355399;2.99573227355399;2.99573227355399,
169,2.99573227355399;2.99573227355399;2.99573227355399,
170,2.94443897916644;2.94443897916644;2.94443897916644,
171,2.94443897916644;2.94443897916644;2.94443897916644,
172,2.94443897916644;2.94443897916644;2.94443897916644,
173,2.94443897916644;2.94443897916644;2.94443897916644,
174,2.94443897916644;2.94443897916644;2.94443897916644,
175,2.94443897916644;2.94443897916644;2.94443897916644,
176,2.94443897916644;2.94443897916644;2.94443897916644,
177,2.94443897916644;2.94443897916644;2.94443897916644,
178,2.94443897916644;2.94443897916644;2.94443897916644,
179,2.94443897916644;2.94443897916644;2.94443897916644,
180,2.94443897916644;2.94443897916644;2.94443897916644,
181,2.94443897916644;2.94443897916644;2.94443897916644,
182,2.94443897916644;2.94443897916644;2.94443897916644,
183,2.94443897916644;2.94443897916644;2.94443897916644,
184,2.94443897916644;2.94443897916644;2.94443897916644,
185,2.94443897916644;2.94443897916644;2.94443897916644,
186,2.94443897916644;2.94443897916644;2.94443897916644,
187,2.94443897916644;2.94443897916644;2.94443897916644,
188,2.94443897916644;2.94443897916644;2.94443897916644,
189,2.94443897916644;2.94443897916644;2.94443897916644,
190,2.94443897916644;2.94443897916644;2.94443897916644,
191,2.94443897916644;2.94443897916644;2.94443897916644,
192,2.94443897916644;2.94443897916644;2.94443897916644,
193,2.94443897916644;2.94443897916644;2.94443897916644,
194,2.99573227355399;2.99573227355399;2.99573227355399,
195,2.99573227355399;2.99573227355399;2.99573227355399,
196,2.99573227355399;2.99573227355399;2.99573227355399,
197,2.99573227355399;2.99573227355399;2.99573227355399,
198,2.99573227355399;2.99573227355399;2.99573227355399,
199,2.99573227355399;2.99573227355399;2.99573227355399,
200,2.99573227355399;2.99573227355399;2.99573227355399,
201,3.04452243772342;3.04452243772342;3.04452243772342,
202,3.04452243772342;3.04452243772342;3.04452243772342,
203,3.04452243772342;3.04452243772342;3.04452243772342,
204,3.04452243772342;3.04452243772342;3.04452243772342,
205,3.04452243772342;3.04452243772342;3.04452243772342,
206,3.04452243772342;3.04452243772342;3.04452243772342,
207,3.04452243772342;3.04452243772342;3.04452243772342,
208,2.99573227355399;2.99573227355399;2.99573227355399,
209,2.99573227355399;2.99573227355399;2.99573227355399,
210,2.99573227355399;2.99573227355399;2.99573227355399,
211,2.99573227355399;2.99573227355399;2.99573227355399,
212,2.99573227355399;2.99573227355399;2.99573227355399,
213,2.99573227355399;2.99573227355399;2.99573227355399,
214,2.99573227355399;2.99573227355399;2.99573227355399,
215,2.99573227355399;2.99573227355399;2.99573227355399,
216,2.99573227355399;2.99573227355399;2.99573227355399,
217,2.99573227355399;2.99573227355399;2.99573227355399,
218,2.99573227355399;2.99573227355399;2.99573227355399,
219,2.99573227355399;2.99573227355399;2.99573227355399,
220,2.99573227355399;2.99573227355399;2.99573227355399,
221,2.99573227355399;2.99573227355399;2.99573227355399,
222,2.99573227355399;2.99573227355399;2.99573227355399,
223,2.99573227355399;2.99573227355399;2.99573227355399,
224,2.94443897916644;2.94443897916644;2.94443897916644,
225,2.89037175789616;2.89037175789616;2.89037175789616,
226,2.89037175789616;2.89037175789616;2.89037175789616,
227,2.89037175789616;2.89037175789616;2.89037175789616,
228,2.89037175789616;2.89037175789616;2.89037175789616,
229,2.89037175789616;2.89037175789616;2.89037175789616,
230,2.89037175789616;2.89037175789616;2.89037175789616,
231,2.89037175789616;2.89037175789616;2.89037175789616,
232,2.89037175789616;2.89037175789616;2.89037175789616,
233,2.89037175789616;2.89037175789616;2.89037175789616,
234,2.89037175789616;2.89037175789616;2.89037175789616,
235,2.89037175789616;2.89037175789616;2.89037175789616,
236,2.89037175789616;2.89037175789616;2.89037175789616,
237,2.89037175789616;2.89037175789616;2.89037175789616,
238,2.89037175789616;2.89037175789616;2.89037175789616,
239,2.89037175789616;2.89037175789616;2.89037175789616,
240,2.89037175789616;2.89037175789616;2.89037175789616,
241,2.89037175789616;2.89037175789616;2.89037175789616,
242,2.89037175789616;2.89037175789616;2.89037175789616,
243,2.89037175789616;2.89037175789616;2.89037175789616,
244,2.89037175789616;2.89037175789616;2.89037175789616,
245,2.89037175789616;2.89037175789616;2.89037175789616,
246,2.89037175789616;2.89037175789616;2.89037175789616,
247,2.89037175789616;2.89037175789616;2.89037175789616,
248,2.89037175789616;2.89037175789616;2.89037175789616,
249,2.89037175789616;2.89037175789616;2.89037175789616,
250,2.94443897916644;2.94443897916644;2.94443897916644,
251,2.94443897916644;2.94443897916644;2.94443897916644,
252,2.94443897916644;2.94443897916644;2.94443897916644,
253,2.94443897916644;2.94443897916644;2.94443897916644,
254,2.94443897916644;2.94443897916644;2.94443897916644,
255,2.94443897916644;2.94443897916644;2.94443897916644,
256,2.94443897916644;2.94443897916644;2.94443897916644,
257,2.89037175789616;2.89037175789616;2.89037175789616,
258,2.89037175789616;2.89037175789616;2.89037175789616,
259,2.83321334405622;2.83321334405622;2.83321334405622,
260,2.83321334405622;2.83321334405622;2.83321334405622,
261,2.83321334405622;2.83321334405622;2.83321334405622,
262,2.83321334405622;2.83321334405622;2.83321334405622,
263,2.83321334405622;2.83321334405622;2.83321334405622,
264,2.83321334405622;2.83321334405622;2.83321334405622,
265,2.83321334405622;2.83321334405622;2.83321334405622,
266,2.89037175789616;2.89037175789616;2.89037175789616,
267,2.89037175789616;2.89037175789616;2.89037175789616,
268,2.89037175789616;2.89037175789616;2.89037175789616,
269,2.89037175789616;2.89037175789616;2.89037175789616,
270,2.89037175789616;2.89037175789616;2.89037175789616,
271,2.89037175789616;2.89037175789616;2.89037175789616,
272,2.89037175789616;2.89037175789616;2.89037175789616,
273,2.89037175789616;2.89037175789616;2.89037175789616,
274,2.89037175789616;2.89037175789616;2.89037175789616,
275,2.89037175789616;2.89037175789616;2.89037175789616,
276,2.89037175789616;2.89037175789616;2.89037175789616,
277,2.89037175789616;2.89037175789616;2.89037175789616,
278,2.89037175789616;2.89037175789616;2.89037175789616,
279,2.89037175789616;2.89037175789616;2.89037175789616,
280,2.89037175789616;2.89037175789616;2.89037175789616,
281,2.89037175789616;2.89037175789616;2.89037175789616,
282,2.89037175789616;2.89037175789616;2.89037175789616,
283,2.89037175789616;2.89037175789616;2.89037175789616,
284,2.89037175789616;2.89037175789616;2.89037175789616,
285,2.89037175789616;2.89037175789616;2.89037175789616,
286,2.89037175789616;2.89037175789616;2.89037175789616,
287,2.89037175789616;2.89037175789616;2.89037175789616,
288,2.89037175789616;2.89037175789616;2.89037175789616,
289,2.89037175789616;2.89037175789616;2.89037175789616,
290,2.89037175789616;2.89037175789616;2.89037175789616,
291,2.89037175789616;2.89037175789616;2.89037175789616,
292,2.89037175789616;2.89037175789616;2.89037175789616,
293,2.89037175789616;2.89037175789616;2.89037175789616,
294,2.89037175789616;2.89037175789616;2.89037175789616,
295,2.89037175789616;2.89037175789616;2.89037175789616,
296,2.89037175789616;2.89037175789616;2.89037175789616,
297,2.89037175789616;2.89037175789616;2.89037175789616,
