"q","loglik","aicc"
0,23535.7006090855,-47069.400910313
1,24599.584215046,-49195.1675064466
2,25231.4466081014,-50456.8913687699
3,25396.2748769686,-50784.5466746454
4,26038.8313928596,-52067.658166426
5,26197.9411947429,-52383.8759219773
6,26462.6846688281,-52911.3607136475
7,26718.3776592102,-53420.7442295554
8,26727.1385072226,-53436.2631522966
9,26844.8876875244,-53669.7584311178
10,26909.9659756418,-53797.9116170003
