"loglik","aicc"
23535.7006090855,-47069.400910313
24599.584215046,-49195.1675064466
25231.4466081014,-50456.8913687699
25396.2748769686,-50784.5466746454
26038.8313928596,-52067.658166426
26197.9411947429,-52383.8759219773
26462.6846688281,-52911.3607136475
26718.3776592102,-53420.7442295554
26727.1385072226,-53436.2631522966
26844.8876875244,-53669.7584311178
26909.9659756418,-53797.9116170003
