"","topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
"1",8,-15141128.3936746,0.0405707422969239,2023.99932465624,3.7103927490842
"2",6,-15527483.5991543,0.0399467521836692,2142.06585181328,3.71815419436197
"3",4,-16073623.0555446,0.0473615657904099,2327.25398299456,3.62756722469151
"4",2,-17134813.7526429,0.0745121708860163,2647.49944236579,3.401363656139
